Asset Class,Investment Style,ETF,NAV (Millions),Expense Ratio,1y Yield (%),,,
Commodity,Active,COMT,302.85,0.48,-6.84,,,
Commodity,Active,CMDY,26.94,0.29,-8.37,,,
Commodity,Active,IAUF,5.42,0.32,12.16,,,
Commodity,Index,IAU,13.66,0.25,12.33,,,
Commodity,Index,SLV,5.87,0.5,-5.5,,,
Commodity,Index,GSG,870.656,0.75,-12.33,,,
Equity,Active,DYNF,21.21,0.3,4.19,,,
Equity,Active,IETC,16.47,0.18,14.27,,,
Equity,Active,IEHS,7.36,0.18,12.58,,,
Equity,Active,IEME,7.055,0.18,3.66,,,
Equity,Active,IEDI,5.894,0.18,12.4,,,
Equity,Active,IEFN,4.971,0.18,4.13,,,
Equity,Active,IEIH,4.948,0.18,6.48,,,
Equity,Active,IECS,4.137,0.18,14.58,,,
Equity,Index,IVV,182085.81,0.04,10.38,,,
Equity,Index,IEFA,64849.409,0.07,0.21,,,
Equity,Index,EFA,60080.613,0.31,1.04,,,
Equity,Index,IEMG,57947.391,0.14,0.58,,,
Equity,Index,IJH,50924.298,0.07,1.25,,,
Equity,Index,IWF,45755.205,0.2,11.38,,,
Equity,Index,IJR,45332.388,0.07,-4.85,,,
Equity,Index,IWM,44001.032,0.19,-3.36,,,
Equity,Index,IWD,29234.503,0.2,8.31,,,
Equity,Index,EEM,31324.721,0.67,0.72,,,
Fixed,Active,NEAR,6532.034,0.25,2.99,,,
Fixed,Active,ICSH,1662.012,0.08,3.15,,,
Fixed,Active,MEAR,185.65,0.25,2.02,,,
Fixed,Active,HYGH,164.174,1.13,4.24,,,
Fixed,Active,LQDH,136.355,0.45,3.6,,,
Fixed,Active,IGBH,58.024,0.41,2.2,,,
Fixed,Active,LQDI,7.858,0.34,7.98,,,
Fixed,Active,EMBH,7.542,1.13,4.33,,,
Fixed,Index,AGG,64352.853,0.06,7.84,,,
Fixed,Index,LQD,36225.361,0.15,12.5,,,
Fixed,Index,SHV,24538.892,0.15,2.35,,,
Fixed,Index,TIP,20106.491,0.19,4.59,,,
Fixed,Index,HYG,19528.954,0.49,7.62,,,
Fixed,Index,MBB,18302.553,0.08,6.19,,,
Fixed,Index,SHY,164740.913,0.15,3.84,,,
Fixed,Index,IEF,16539.667,0.15,10,,,
Fixed,Index,EMB,15270.418,0.39,12.42,,,
Fixed,Index,TLT,14619.223,0.15,12.07,,,
,,,,,,,,
,,,,,,,,
